athleteId,schoolYear,sport,grade,nRaces,best800,best1500,best3000,best5000,bestAny
889,2004,tfo,10,2,,,,,12.31
889,2005,tfo,11,3,,,,,12.04
890,2004,tfo,10,2,,,,,11.04
890,2005,tfo,11,3,,,,,11.19
890,2006,tfo,12,2,,,,,11.04
891,2006,xc,12,7,,,,1176,1176
891,2006,tfo,12,1,,,,,57.24
892,2005,tfo,11,1,,,,,12.34
892,2006,tfo,12,1,,,,,12.14
893,2004,tfo,11,1,,,,,13.14
893,2005,tfo,12,1,,,,,13.24
896,2004,tfo,10,1,,,,,55.39
896,2005,tfo,11,2,,,,,25.74
897,2004,tfo,10,1,,,,,13.84
919,2004,tfo,12,2,132.6,279.4,,,132.6
921,2004,tfo,12,2,148.3,287.1,,,148.3
929,2004,tfo,11,1,,,,,26.54
930,2004,tfo,11,3,,,,,12.74
934,2004,tfo,10,2,,,,,13.44
934,2005,tfo,11,2,,,,,13.14
935,2004,tfo,10,3,142,278.3,618.24,,142
935,2006,xc,12,9,,,,1069,1069
940,2004,tfo,10,2,,,,,11.84
940,2005,tfo,11,2,,,,,11.54
940,2006,tfo,12,3,,,,,11.34
942,2004,tfo,10,1,,,,,12.44
942,2005,tfo,11,2,,,,,12.84
943,2004,tfo,10,1,,,,,13.3
944,2004,tfo,10,2,,,,,12.44
946,2004,tfo,10,2,,,,,26.04
946,2005,tfo,11,2,,,,,25.84
947,2004,tfo,9,2,,,,,13.54
948,2004,tfo,9,2,,,,,11.54
948,2005,tfo,10,2,,,,,11.64
948,2006,tfo,11,2,,,,,11.61
949,2004,tfo,9,2,,,,,13.94
950,2004,tfo,9,2,,,,,13.84
950,2005,tfo,10,3,,,,,13.74
950,2006,tfo,11,2,,,,,25.84
951,2004,tfo,9,2,151.9,297.8,,,151.9
951,2005,tfo,10,3,138.4,283.4,,,138.4
953,2004,tfo,9,2,,,,,12.94
953,2006,xc,11,6,,,,1253,1253
954,2004,tfo,9,2,,,,,13.24
954,2005,tfo,10,2,,,,,27.24
954,2006,tfo,11,2,,,,,26.04
954,2007,tfo,12,3,,,,,25.94
958,2005,tfo,10,2,,,,,14.14
960,2004,tfo,9,2,151.5,307.73,,,151.5
960,2005,xc,10,1,,,,1192,1192
960,2005,tfo,10,2,154.1,302.39,,,154.1
960,2006,xc,11,8,,,,1179.2,1179.2
960,2007,xc,12,10,,,,1215.6,1215.6
961,2004,tfo,9,1,,,,,13.54
963,2004,tfo,9,1,,,,,14.44
963,2005,tfo,10,1,,,,,14.44
963,2006,tfo,11,1,,,,,14.94
964,2004,tfo,,1,,,,,16.74
966,2004,tfo,9,1,155.8,,,,155.8
967,2004,tfo,10,2,248.4,,,,99.24
969,2004,tfo,10,1,,,,,15.84
972,2004,tfo,10,2,210.6,,,,93.24
972,2005,tfo,11,1,216.6,,,,216.6
973,2004,tfo,10,2,204.8,,,,76.34
973,2006,xc,12,9,,,,1334.5,1334.5
975,2004,tfo,11,2,235.1,,,,102.74
977,2004,tfo,12,2,,,,,28.64
984,2004,tfo,9,3,134.6,264.6,575.67,,134.6
984,2005,tfo,10,4,127.9,263,570.2,,127.9
984,2006,tfo,11,3,122.51,266.2,,,55.94
985,2004,tfo,10,2,,,,,11.84
985,2005,tfo,11,3,,,,,11.64
985,2006,tfo,12,3,,,,,11.64
986,2004,tfo,10,1,147,,,,147
986,2005,tfo,11,1,141,,,,141
986,2006,tfo,12,2,139.2,312.2,,,139.2
987,2004,tfo,10,3,156.4,326,705.8,,156.4
987,2005,xc,11,1,,,,1260,1260
987,2005,tfo,11,2,,325.2,687.5,,325.2
987,2006,xc,12,8,,,,1222,1222
987,2006,tfo,12,2,,352,697.39,,352
1013,2004,tfo,11,2,143.65,309.38,,,143.65
1013,2005,tfo,12,4,146.72,318.2,682.86,,146.72
1014,2004,tfo,9,2,170.2,332.1,,,170.2
1014,2005,tfo,10,2,154.8,333,,,154.8
1014,2006,xc,11,6,,,,1141,1141
1014,2006,tfo,11,2,151.2,308.6,,,151.2
1014,2007,xc,12,9,,,,1100,1100
1018,2004,tfo,9,1,,,,,15.74
1018,2006,xc,11,8,,,,1214,1214
1018,2007,xc,12,9,,,,1188,1188
1064,2004,tfo,11,1,,,,,13.04
1065,2004,tfo,9,1,,,,,54.14
1065,2005,tfo,10,2,125.06,,,,51.98
1065,2007,tfo,12,4,136.35,,,,12.04
1069,2004,tfo,10,2,161.2,330.7,,,161.2
1104,2005,tfo,10,3,,,,,12.74
1104,2006,tfo,11,1,,,,,12.74
1131,2004,tfo,9,2,,,,,13.14
1131,2005,tfo,10,2,,,,,13.04
1873,2004,tfo,11,3,,,,,13.74
14337,2005,tfo,9,1,,,,,12.54
14337,2006,tfo,10,1,,,,,12.34
14337,2007,tfo,11,1,,,,,70
14339,2005,tfo,9,3,147.4,307.4,,,147.4
14339,2006,xc,10,9,,,,1124,1124
14339,2006,tfo,10,2,142.6,316.2,,,142.6
14339,2007,xc,11,9,,,,1138.5,1138.5
14339,2008,xc,12,8,,,,1184,1184
14340,2005,tfo,9,4,144.8,292,651.8,,144.8
14340,2006,xc,10,9,,,,1081,1081
14340,2006,tfo,10,3,141.8,284,637.2,,141.8
14340,2007,xc,11,8,,,,1067,1067
14340,2007,tfo,11,4,,271.11,662,,57.3
14340,2008,xc,12,9,,,,1068,1068
14340,2008,tfo,12,5,125.6,277.1,617.9,,58
14341,2005,tfo,10,3,,,,,12.74
14341,2006,tfo,11,3,,,,,12.44
14342,2005,tfo,10,2,,,,,13.84
14343,2005,tfo,10,2,,,,,13.54
14343,2006,tfo,11,2,,,,,13.54
14344,2005,tfo,9,1,,,,,14.04
14345,2005,tfo,9,1,,,,,15.24
14346,2005,tfo,10,3,136.2,301.3,,,58.54
14347,2005,tfo,12,2,122.58,,,,56.14
14348,2005,tfo,12,2,,,,,12.44
14349,2005,tfo,10,3,136.7,291.4,,,61.74
14350,2005,tfo,9,2,,,,,26.74
14351,2005,tfo,9,3,137.9,293.9,,,62.14
14351,2006,xc,10,9,,,,1107,1107
14351,2006,tfo,10,2,141.3,302.8,,,141.3
14352,2005,tfo,11,1,156.5,,,,156.5
14352,2006,xc,12,7,,,,1239,1239
14352,2006,tfo,12,1,165.6,,,,165.6
14353,2005,tfo,11,2,154.7,362.6,,,154.7
14353,2006,xc,12,4,,,779,1248,779
14353,2006,tfo,12,2,167.2,359.9,,,167.2
14355,2005,tfo,9,2,147,326,,,147
14355,2006,tfo,10,2,136,294.7,,,136
14355,2007,xc,11,9,,,,1112.3,1112.3
14355,2008,xc,12,8,,,,1109.5,1109.5
14355,2008,tfo,12,4,132.1,296.9,,,58.8
14357,2005,tfo,9,2,155,326.8,,,155
14357,2006,tfo,10,1,170.1,,,,170.1
14357,2007,tfo,11,2,171.2,,,,74
14364,2012,tfo,,1,,,,,401
14374,2005,tfo,11,1,,,,,12.84
14379,2005,tfo,9,1,300,,,,300
14381,2005,tfo,12,1,,,,,12.54
14423,2005,tfo,9,2,,,,,13.34
14425,2005,tfo,10,2,,,,,15.34
14425,2006,tfo,11,2,,,,,15.04
14426,2005,tfo,10,2,,,,,14.34
14426,2007,tfo,12,1,,,,,14.44
14428,2005,tfo,9,2,,,,,13.54
14428,2006,tfo,10,2,,,,,13.44
14428,2007,xc,11,8,,,,1343.9,1343.9
14428,2007,tfo,11,4,,,,,13.58
14428,2008,tfo,12,3,,,,,13.07
14429,2005,tfo,10,2,,,,,14.84
14430,2005,tfo,9,2,,,,,15.64
14430,2006,tfo,10,1,,,,,16.24
14430,2007,tfo,11,2,,,,,15.4
14431,2005,tfo,9,2,,,,,16.34
14433,2005,xc,9,1,,,,1219,1219
14433,2005,tfo,9,4,142.32,298.1,672.1,,64.34
14433,2006,xc,10,10,,,,1165,1165
14433,2006,tfo,10,3,144.99,308.3,690.7,,144.99
14433,2007,xc,11,8,,,,1182.2,1182.2
14433,2007,tfo,11,6,146.91,306.5,701.2,,64.7
14433,2008,xc,12,9,,,,1215,1215
14433,2008,tfo,12,4,151.8,333.3,,,67.6
14434,2005,tfo,9,4,154.1,306.25,697.7,,67.54
14434,2006,xc,10,9,,,,1189,1189
14434,2006,tfo,10,3,168.3,322.66,743.5,,168.3
14434,2007,xc,11,8,,,,1213.7,1213.7
14434,2007,tfo,11,6,157.4,313.42,708.6,,69
14434,2008,xc,12,4,,,,1303,1303
14435,2005,tfo,10,2,169.8,352.1,,,169.8
14435,2006,tfo,11,2,,,,,15.94
14436,2005,tfo,11,2,182,379.4,,,182
14437,2005,tfo,9,2,170.7,347.9,,,170.7
14437,2006,xc,10,8,,,,1385,1385
14437,2006,tfo,10,3,172.1,345,,,79.14
14437,2007,xc,11,8,,,,1362,1362
14437,2007,tfo,11,6,175.3,356.1,787.4,,78
14437,2008,xc,12,9,,,,1357,1357
14437,2008,tfo,12,4,171.9,345,,,74.4
16235,2005,xc,9,1,,,,1149,1149
16235,2005,tfo,9,2,,306.26,646,,306.26
16235,2006,xc,10,10,,,,1145.2,1145.2
16235,2006,tfo,10,3,162.3,318.17,707.67,,162.3
16235,2007,xc,11,9,,,,1205,1205
16235,2008,xc,12,8,,,,1256,1256
16246,2005,tfo,10,1,,,,,13.84
16255,2005,tfo,10,2,,,,,13.24
16269,2005,tfo,10,2,,269.2,593.4,,269.2
16269,2006,xc,11,9,,,,1008.2,1008.2
16269,2006,tfo,11,2,,270.54,593,,270.54
16269,2007,xc,12,7,,,,1025,1025
16271,2005,tfo,9,2,,,,,26.14
16271,2006,tfo,10,1,,,,,54.5
16271,2007,tfo,11,3,,,,,24.24
16271,2008,tfo,12,4,,,,,11.56
16272,2005,tfo,11,2,,,,,12.54
16272,2006,tfo,12,1,,,,,11.94
20704,2005,tfo,9,1,,,,,12.04
20704,2006,tfo,10,3,,,,,11.74
20704,2007,tfo,11,3,,,,,11.94
22875,2006,xc,11,9,,,,1380,1380
22876,2006,xc,11,8,,,,1380,1380
22877,2005,xc,9,1,,,,1284,1284
22877,2006,xc,10,9,,,,1273.2,1273.2
22931,2006,xc,9,9,,,837,1294,837
22931,2006,tfo,9,3,,,,,13.64
22931,2007,xc,10,8,,,,1227,1227
22931,2007,tfo,10,3,,,,,13.94
22931,2008,xc,11,10,,,,1183.3,1183.3
22931,2008,tfo,11,3,,,,,14.84
22931,2009,xc,12,9,,,719,1202,719
22931,2009,tfo,12,2,,,,,67.6
22932,2006,xc,12,5,,,,1492,1492
22933,2006,xc,10,7,,,,1218.8,1218.8
22933,2006,tfo,10,2,,316.53,700.01,,316.53
22933,2007,xc,11,9,,,,1184.8,1184.8
22933,2007,tfo,11,6,156.4,305.57,654.85,,72
22933,2008,xc,12,8,,,,1181.2,1181.2
22933,2008,tfo,12,4,155.1,297.98,635.7,,70.5
22934,2006,xc,9,10,,,,1211.6,1211.6
22934,2007,xc,10,10,,,,1206,1206
22934,2009,xc,12,5,,,793,1351,793
22935,2006,xc,,3,,,944,1477,944
22936,2006,xc,10,6,,,,1049.2,1049.2
22936,2006,tfo,10,3,139.4,295.5,,,62.94
22937,2006,xc,10,9,,,,1246,1246
22937,2007,xc,11,9,,,915,1318,915
22938,2006,xc,9,3,,,,1051,1051
22938,2006,tfo,9,3,128,277.8,653.6,,128
22938,2007,xc,10,8,,,,1038,1038
22938,2007,tfo,10,4,124.11,271,,,53.9
22938,2008,xc,11,9,,,,1015.3,1015.3
22938,2009,xc,12,10,,,591,1000.9,591
22939,2006,xc,10,9,,,,1155,1155
22940,2006,xc,9,9,,,771,1141,771
22940,2007,xc,10,9,,,,1129,1129
22940,2008,xc,11,8,,,,1118,1118
22940,2009,xc,12,6,,,,1172,825.4
22941,2006,xc,,3,,,848,1490,848
22942,2006,xc,11,9,,,,1106,1106
22942,2006,tfo,11,2,135,290.1,,,135
22942,2007,xc,12,8,,,,1071,1071
22943,2006,xc,10,8,,,,1223,1223
22944,2006,xc,11,9,,,,1060,1060
22944,2007,xc,12,8,,,,1061.8,1061.8
22945,2006,xc,9,9,,,,1077,1077
22945,2006,tfo,9,2,,288.9,612.2,,288.9
22945,2007,xc,10,9,,,,1049,1049
22945,2007,tfo,10,4,135.2,274.11,581,,67
22945,2008,xc,11,10,,,,983.7,983.7
22945,2008,tfo,11,5,137.5,259.7,545.05,,60
22945,2009,xc,12,10,,,558,943,558
22945,2009,tfo,12,4,,247.83,528.48,,57.6
22946,2006,xc,11,9,,,,1278,1278
22946,2007,xc,12,9,,,,1292,1292
22947,2006,xc,9,9,,,,1068,1068
22947,2006,tfo,9,2,,270.6,578.8,,270.6
22947,2007,xc,10,10,,,,1008,1008
22947,2007,tfo,10,4,135.8,263.43,559.53,,135.8
22947,2008,xc,11,10,,,,980.4,980.4
22947,2008,tfo,11,5,129,253.44,559.44,,55.2
22947,2009,xc,12,10,,,570,991,570
22947,2009,tfo,12,5,121.89,263.9,609.7,,53.4
22948,2006,xc,10,5,,,,1208,1208
22948,2007,xc,11,3,,,769,1239,769
22948,2008,xc,12,4,,,,1194,1194
22950,2006,xc,10,5,,,,1321,1321
22950,2007,xc,11,6,,,1011,1372,1011
22950,2008,xc,12,9,,,,1313,1313
22950,2008,tfo,12,3,166.6,339.3,,,166.6
22951,2006,xc,12,7,,,,1293,1293
23259,2006,xc,12,8,,,,1062.8,1062.8
23260,2006,xc,9,8,,,799,1210,799
23260,2006,tfo,9,3,,,,,13.64
23260,2007,xc,10,9,,,900,1164,900
23260,2007,tfo,10,4,148.4,294.9,,,59
23260,2008,xc,11,7,,,,1138.5,784
23260,2008,tfo,11,4,147.2,292.8,661.6,,59.7
23261,2006,xc,9,8,,,893,1436,893
23261,2006,tfo,9,2,175.1,370.6,,,175.1
23261,2007,xc,10,7,,,,1433,1433
23262,2006,xc,9,10,,,,1259,1259
23262,2007,xc,10,7,,,,1292,1292
35885,2006,tfo,9,3,,,,,14.14
35885,2007,tfo,10,1,,,,,14.82
35885,2008,tfo,11,1,,,,,14.42
35894,2006,tfo,9,2,,,,,30.64
35896,2006,tfo,9,3,,,,,14.54
35896,2007,tfo,10,3,,,,,29.64
35900,2006,tfo,9,2,,,,,29.14
35900,2007,tfo,10,4,153.5,,,,29.14
35900,2008,tfo,11,3,,,,,29.34
35900,2009,tfo,12,2,,,,,67.9
35904,2006,tfo,9,2,,,,,15.14
35907,2006,tfo,9,1,,,,,14.24
35907,2007,tfo,10,3,166.8,,,,69
35908,2006,tfo,9,2,,,,,15.34
35908,2007,tfo,10,3,,,,,15.4
35910,2006,tfo,9,3,,,,,14.74
35910,2007,tfo,10,3,,,,,30.14
35921,2006,tfo,12,4,146.5,,,,14.14
35922,2006,tfo,9,2,,,,,14.34
35923,2006,tfo,11,2,,,,,14.24
35924,2006,tfo,9,2,,,,,14.44
35925,2006,tfo,9,2,,,,,15.64
35926,2006,tfo,12,1,,,,,14.84
35927,2006,tfo,9,2,,,,,16.14
35928,2006,tfo,10,2,,,,,16.84
35930,2006,tfo,9,2,148.1,320.8,,,148.1
35930,2007,tfo,10,5,149.94,316.2,758,,69
35930,2008,xc,11,4,,,,1225,1225
35930,2008,tfo,11,6,151.48,321.15,749.76,,70
35930,2009,xc,12,8,,,720,1222.6,720
35930,2009,tfo,12,4,158.8,316.99,724.28,,74.5
35934,2006,tfo,12,2,,,,,15.04
35938,2006,tfo,12,1,,,,,14.54
35945,2006,tfo,11,1,,,,,12.14
35946,2006,tfo,9,3,,,,,12.34
35946,2007,tfo,10,3,,,,,24.64
35946,2008,tfo,11,3,,,,,14.14
35947,2006,tfo,11,2,,,,,12.04
35950,2006,tfo,9,2,,,,,12.34
35950,2007,tfo,10,2,,,,,12.94
35950,2008,tfo,11,2,,,,,11.93
35950,2009,tfo,12,2,,,,,11.94
35951,2006,tfo,11,1,,,,,26.04
35952,2006,tfo,9,3,,,,,12.04
35952,2007,tfo,10,3,,,,,11.81
35952,2008,tfo,11,2,,,,,11.68
35955,2006,tfo,10,2,,,,,28.04
35987,2006,tfo,11,2,,,,,12.24
35989,2006,tfo,11,2,,,,,12.74
35990,2006,tfo,9,2,,,,,12.94
35990,2007,tfo,10,1,,,,,12.84
35995,2006,tfo,10,3,,,,,14.64
36000,2006,tfo,9,2,,,,,13.64
36000,2007,tfo,10,3,,,,,26.64
36000,2008,tfo,11,3,,,,,25.4
36003,2006,tfo,9,2,,,,,13.94
36027,2006,tfo,9,3,143.1,294,,,62.64
36047,2006,tfo,9,3,,,,,12.84
36047,2007,tfo,10,3,,,,,12.34
36063,2006,tfo,9,1,,,,,60.94
36144,2007,tfo,11,2,,,,,13.64
36177,2007,tfo,10,1,,,,,64
42139,2006,tfo,12,1,,,,,12.74
42160,2006,tfo,10,2,142.6,298.4,,,142.6
42160,2007,tfo,11,3,,,,,26.04
42160,2008,tfo,12,2,,,,,25.47
42221,2006,tfo,9,1,,,,,14.62
42236,2006,tfo,9,1,,,,,15.44
42236,2008,tfo,11,1,,,,,31.44
42237,2006,tfo,10,2,,,,,13.94
42237,2007,tfo,11,4,,,,,14.24
42240,2006,tfo,9,2,,,,,30.54
50747,2006,tfo,10,1,,,,,12.54
50749,2006,tfo,11,3,,,,,12.84
50772,2006,tfo,9,2,180.6,384.8,,,180.6
50772,2007,tfo,10,4,173.5,388.69,,,76
50772,2008,tfo,11,4,174.3,359.08,,,77
82721,2007,xc,9,9,,,1140,1418.2,1140
82721,2007,tfo,9,1,,,,,64.4
82721,2008,xc,10,10,,,,1298.3,1298.3
82721,2008,tfo,10,1,,,,,66.3
82721,2009,xc,11,9,,,752,1284,752
82721,2009,tfo,11,1,,,,,67.4
82722,2007,xc,11,3,,,,1468,1468
82723,2007,xc,9,4,,,,1369.3,1369.3
82723,2008,xc,10,9,,,,1343,1343
82723,2009,xc,11,4,,,799,1419.6,799
82724,2007,xc,9,9,,,1081,1403.4,1081
82724,2007,tfo,9,6,166.3,349.7,,,15.04
82724,2008,xc,10,9,,,,1366,1366
82724,2008,tfo,10,5,158.3,329.8,740.2,,68.6
82724,2009,xc,11,8,,,794,1323,794
82724,2009,tfo,11,5,167.3,344.11,781.2,,71.9
82724,2010,xc,12,6,,,,1439.4,1439.4
82726,2007,xc,10,3,,,931,1557,931
82728,2007,xc,10,9,,,,1371,1371
82728,2008,xc,11,8,,,,1371.8,1371.8
82729,2007,xc,10,7,,,1116,1689,1116
82729,2009,xc,12,8,,,908,1514,908
82734,2007,xc,10,6,,,959,1537.4,959
82734,2008,xc,11,9,,,,1336,1336
82734,2009,xc,12,6,,,836,1446.2,836
82737,2007,xc,9,3,,,1175,1675.9,1175
82737,2007,tfo,9,2,,,,,16.44
82737,2008,xc,10,9,,,,1650,1188
82741,2007,xc,10,8,,,,1316.7,1316.7
82741,2008,xc,11,7,,,,1374,1374
82746,2007,xc,9,8,,,,1252,1252
82746,2009,xc,11,6,,,821,1311.5,821
82748,2007,xc,9,10,,,,1161.8,1161.8
82748,2007,tfo,9,4,155.9,286.44,633.17,,63
82748,2008,xc,10,10,,,,1130,1130
82748,2008,tfo,10,5,145.2,286.97,613.17,,62.3
82748,2009,xc,11,10,,,672,1122.6,672
82748,2009,tfo,11,4,153.3,286.32,623.28,,62.4
82748,2010,xc,12,9,,,,1103.2,1103.2
82748,2010,tfo,12,6,140.7,284.11,614.2,,62.1
82753,2007,xc,,2,,,,1298,1298
82755,2007,xc,9,9,,,,1143.3,1143.3
82755,2008,xc,10,3,,,,1151,1151
82758,2007,xc,9,6,,,,1137.6,1137.6
82758,2008,xc,10,9,,,,1083.9,1083.9
82758,2008,tfo,10,5,138.3,290.5,643.9,,59.1
82758,2009,xc,11,8,,,652,1071.4,652
82758,2010,xc,12,7,,,,1109.3,1109.3
82764,2007,xc,9,7,,,,1170.3,1170.3
82764,2010,tfo,12,3,143.4,301.7,,,63.5
82766,2007,xc,9,9,,,870,1174.6,870
82766,2007,tfo,9,7,135.9,285,,,13.54
82766,2008,xc,10,9,,,,1072,1072
82766,2008,tfo,10,4,133.3,266.27,605.1,,59.2
82766,2009,xc,11,10,,,627,1050,627
82766,2009,tfo,11,5,133.15,279.79,673.8,,58.8
82766,2010,xc,12,7,,,,1094,1094
82766,2010,tfo,12,4,129.8,270.8,,,55.7
82769,2007,xc,10,6,,,,1257.9,1257.9
82770,2007,xc,9,8,,,,1129,1129
82770,2008,xc,10,9,,,,1120,1120
82770,2009,xc,11,7,,,,1157.2,1157.2
82770,2010,xc,12,7,,,,1179.2,1179.2
86592,2007,xc,9,5,,,1023,1700,1023
86594,2007,xc,10,9,,,,1106,1106
86594,2007,tfo,10,4,126.84,,,,54.5
86594,2008,xc,11,8,,,,1080.4,1080.4
86594,2008,tfo,11,3,124.8,,,,55.1
86595,2007,xc,9,9,,,,1150,1150
86595,2007,tfo,9,4,150.7,294.3,,,62
86595,2008,xc,10,9,,,,1076,1076
86595,2008,tfo,10,4,133.4,282.9,596.8,,60.9
86595,2009,xc,11,10,,,630,1047,630
86595,2009,tfo,11,4,133.8,278.72,597.22,,59.6
86595,2010,xc,12,6,,,,1018,1018
86595,2010,tfo,12,5,130.5,269.7,593,,56.3
86596,2007,xc,9,6,,,,1444,1444
86596,2007,tfo,9,1,,,,,14.34
91217,2007,xc,11,8,,,783,1183,783
93644,2007,xc,9,7,,,1021,1460,1021
93644,2008,xc,10,10,,,,1301.9,1301.9
93644,2008,tfo,10,5,175.1,328.8,729.2,,74
93644,2009,xc,11,9,,,,1234,1234
93644,2009,tfo,11,3,,331.8,717.43,,72.9
93644,2010,xc,12,9,,,,1206.3,1206.3
93658,2007,xc,9,5,,,,1310.2,1310.2
93658,2007,tfo,9,3,150.9,319.6,,,66.5
93658,2008,xc,10,9,,,,1172.8,1172.8
93658,2009,xc,11,7,,,,1138,1138
93658,2010,xc,12,3,,,,1153,1153
113408,2007,tfo,10,2,,,,,13.24
113408,2008,tfo,11,1,,,,,59.4
113408,2009,tfo,12,1,,,,,58.3
113409,2007,tfo,10,2,,,,,73
113410,2007,tfo,10,4,151.5,304.1,,,63
113411,2007,tfo,10,2,,,,,70
113413,2007,tfo,10,2,,,,,15.14
113416,2007,tfo,10,3,,,,,12.54
113416,2008,tfo,11,3,,,,,12.64
113416,2009,tfo,12,2,,,,,51.6
113418,2008,tfo,11,1,,,,,15.14
113419,2007,tfo,10,2,,,,,12.54
113420,2007,tfo,9,2,,,,,12.24
113420,2008,tfo,10,2,,,,,11.74
113420,2009,tfo,11,1,,,,,11.5
113421,2007,tfo,9,2,,,,,15.14
113422,2007,tfo,9,1,,,,,71
113423,2007,tfo,9,4,,,,,15.24
113424,2007,tfo,9,3,,,,,12.73
113424,2009,tfo,11,4,,,,,12.8
113424,2010,tfo,12,4,,,,,12.46
113425,2007,tfo,9,3,,,,,27.04
113425,2008,tfo,10,3,,,,,24.63
113425,2009,tfo,11,3,,,,,25.47
113425,2010,tfo,12,3,,,,,24.87
113426,2007,tfo,9,3,,,,,14.14
113427,2007,tfo,9,2,,,,,12.48
113427,2008,tfo,10,1,,,,,58.4
113429,2007,tfo,9,3,,,,,14.39
113429,2008,tfo,10,2,,,,,14.04
113429,2009,tfo,11,2,,,,,13.91
113429,2010,tfo,12,1,,,,,17.56
113430,2007,tfo,9,3,,,,,14.06
113430,2008,tfo,10,2,,,,,13.37
113430,2009,tfo,11,2,,,,,13.66
113430,2010,tfo,12,2,,,,,14.19
113431,2007,tfo,9,3,,,,,15.04
113433,2007,tfo,12,1,,,,,12.64
113434,2007,tfo,12,2,,,,,12.74
113435,2007,tfo,12,3,,,,,24.54
113488,2007,tfo,11,4,190.4,408.98,,,82
113488,2008,tfo,12,4,180.2,367.3,,,87.1
113490,2007,tfo,11,1,,,,,12.98
113491,2007,tfo,11,1,,,,,12.74
113492,2007,tfo,11,1,,,,,14.64
113495,2008,tfo,10,1,,,,,69.6
113495,2010,tfo,12,1,,,,,14.1
113498,2007,tfo,9,1,,,,,72
113499,2007,tfo,9,2,,,,,15.47
114146,2007,tfo,9,2,,,,,14.14
114146,2008,tfo,10,2,,,,,14.06
114154,2007,tfo,11,2,,,,,13.24
114158,2007,tfo,11,2,,,,,25.94
116368,2008,tfo,12,2,,,,,57.1
116373,2007,tfo,9,4,,,,,13.68
116373,2008,tfo,10,2,,,,,13.44
116373,2010,tfo,12,2,,,,,13.67
116386,2007,tfo,9,2,,,,,15.24
116386,2008,xc,10,7,,,,1723,1086
116386,2008,tfo,10,2,,,,,16.04
116386,2010,xc,12,7,,,,1419,1419
118471,2007,tfo,9,3,178.7,,,,71
118474,2007,tfo,9,3,,,,,13.02
118476,2010,xc,12,8,,,,1394.3,1394.3
118480,2007,tfo,10,3,,,,,12.54
118480,2008,tfo,11,2,,,,,12.34
118480,2009,tfo,12,4,,,,,12.47
118481,2007,tfo,11,2,,,,,16.01
118481,2008,xc,12,9,,,,1408.5,981
118481,2008,tfo,12,2,,,,,14.54
119608,2007,tfo,12,2,,,,,14.14
139512,2007,tfo,9,2,,,,,15.25
139512,2008,tfo,10,2,,,,,15.04
139512,2009,tfo,11,2,,,,,15
139617,2007,tfo,9,2,,,,,70
139617,2008,tfo,10,2,,,,,32.14
139867,2007,tfo,11,1,,,,,12.44
139881,2007,tfo,12,3,,,,,12.14
140029,2007,tfo,9,1,,,,,63
140044,2007,tfo,9,2,,,,,63
152422,2007,tfo,9,2,,,,,15.94
152422,2008,tfo,10,2,,,,,15.04
152423,2007,tfo,9,3,,,,,29.14
152424,2007,tfo,9,3,,,,,29.34
152810,2007,tfo,12,1,,,,,12.74
175100,2007,tfo,12,2,,,,,14.1
175489,2007,tfo,9,1,,,,,12.07
175489,2010,tfo,12,2,,,,,11.33
